iter	Logloss
0	0.6758624978
1	0.6593799502
2	0.6435977591
3	0.628566489
4	0.6143287828
5	0.6007760873
6	0.5877537027
7	0.575430816
8	0.5637083358
9	0.5525176469
10	0.5418908142
11	0.531769236
12	0.5220213445
13	0.5128765732
14	0.5040855781
15	0.4956613638
16	0.4876352969
17	0.4800990676
18	0.4728995763
19	0.4661001866
20	0.459489764
21	0.4533143568
22	0.4474129027
23	0.4416598423
24	0.4362902671
25	0.4311782703
26	0.426353646
27	0.4217591191
28	0.4173109892
29	0.413134499
30	0.4091577784
31	0.4052778508
32	0.401542296
33	0.3980242888
34	0.3947537556
35	0.3914779503
36	0.3885068857
37	0.385625429
38	0.3826541509
39	0.3800598555
40	0.3774968597
41	0.375071603
42	0.3728140671
43	0.3706365516
44	0.3684156811
45	0.3664481963
46	0.3645709995
47	0.3627020707
48	0.3609454181
49	0.3592563173
50	0.3575450017
51	0.3560200906
52	0.3545791181
53	0.3530979976
54	0.3517183649
55	0.3503445326
56	0.3491517157
57	0.3478964793
58	0.3468468869
59	0.3457322942
60	0.3446194727
61	0.3437019994
62	0.3426667403
63	0.3416734491
64	0.3408164241
65	0.3400184107
66	0.3391936459
67	0.3382988863
68	0.3374397205
69	0.3367775032
70	0.3360167749
71	0.335342325
72	0.334601581
73	0.3339302893
74	0.3333585205
75	0.3328366856
76	0.3322597662
77	0.3317654741
78	0.3312287581
79	0.3307581291
80	0.3302916608
81	0.329805843
82	0.329413824
83	0.32893214
84	0.3284715583
85	0.3280429086
86	0.3276364526
87	0.3272706489
88	0.3269216531
89	0.3265446611
90	0.3262351145
91	0.3259106696
92	0.3255859405
93	0.3251808543
94	0.3248237043
95	0.3244404278
96	0.3241481072
97	0.3238684991
98	0.3235956852
99	0.3233617042
100	0.3231312819
101	0.3228439447
102	0.3226172831
103	0.3224165753
104	0.3221930592
105	0.321991003
106	0.3217294773
107	0.3215207958
108	0.3213084821
109	0.3210730788
110	0.320880028
111	0.320690957
112	0.320513392
113	0.320220141
114	0.3201146409
115	0.3199102765
116	0.3197414926
117	0.3195780277
118	0.3193758369
119	0.3191248471
120	0.3189133843
121	0.318796041
122	0.3186924949
123	0.3184858897
124	0.3183573492
125	0.3181983644
126	0.318037684
127	0.3178862027
128	0.3178180967
129	0.3177235804
130	0.3175901254
131	0.3174183552
132	0.3172852983
133	0.3171241594
134	0.3169294644
135	0.3168131042
136	0.316668978
137	0.31650974
138	0.3164012848
139	0.3163008048
140	0.3161545449
141	0.3160528004
142	0.3159341676
143	0.3158165302
144	0.3156969107
145	0.3156121381
146	0.31552918
147	0.3153418441
148	0.3152495238
149	0.3151489183
150	0.3150635474
151	0.3149755602
152	0.3148543516
153	0.3147656091
154	0.3146920878
155	0.3145770305
156	0.314480724
157	0.3144073291
158	0.3143477926
159	0.3142605379
160	0.3141284641
161	0.3140281805
162	0.3139017115
163	0.3137850175
164	0.3136885074
165	0.3136017899
166	0.3134841683
167	0.3133866001
168	0.3132711536
169	0.3131588061
170	0.3130364805
171	0.3128932002
172	0.3128248348
173	0.3127319061
174	0.3126614918
175	0.3125454294
176	0.312468521
177	0.3123257371
178	0.312221779
179	0.3120926491
180	0.3119802683
181	0.3119002851
182	0.3117830942
183	0.3116803122
184	0.3116034286
185	0.3115217089
186	0.3114605001
187	0.3113803283
188	0.3113187887
189	0.3112557789
190	0.3111884536
191	0.3111170137
192	0.3110733428
193	0.3109796296
194	0.3108747587
195	0.3107292822
196	0.3106369758
197	0.3105150907
198	0.3104009236
199	0.3103458001
200	0.3102257004
201	0.3101251863
202	0.3100603582
203	0.3099707109
204	0.3098802238
