iter	Passed	Remaining
0	33	33917156
1	65	32789975
2	100	33579366
3	134	33541299
4	166	33288103
5	196	32765198
6	227	32476667
7	260	32594226
8	296	32888989
9	327	32702998
10	360	32784035
11	390	32503745
12	419	32306495
13	456	32614844
14	484	32304866
15	516	32273013
16	555	32690013
17	594	33054722
18	629	33144315
19	662	33148636
20	697	33198219
21	729	33143968
22	761	33102927
23	790	32950544
24	823	32922116
25	855	32890594
26	888	32900532
27	919	32823947
28	950	32771204
29	982	32735595
30	1012	32670834
31	1043	32611711
32	1078	32692442
33	1118	32887640
34	1155	33016644
35	1188	32999702
36	1221	32999122
37	1252	32965300
38	1285	32972449
39	1318	32965423
40	1350	32946113
41	1381	32880956
42	1414	32885231
43	1446	32881652
44	1478	32848121
45	1509	32804760
46	1542	32808834
47	1573	32789004
48	1607	32805538
49	1638	32773793
50	1670	32744486
51	1700	32706919
52	1731	32673225
53	1762	32636394
54	1793	32600148
55	1827	32635192
56	1861	32662627
57	1893	32649383
58	1925	32634383
59	1958	32632344
60	1991	32638568
61	2023	32638383
62	2055	32620704
63	2088	32623990
64	2119	32603840
65	2152	32604379
66	2185	32620118
67	2218	32617068
68	2251	32624980
69	2285	32649379
70	2317	32631499
71	2348	32610159
72	2378	32584453
73	2409	32555344
74	2440	32538970
75	2476	32584375
76	2507	32568614
77	2541	32582288
78	2572	32562183
79	2604	32548814
80	2633	32506699
81	2664	32486135
82	2694	32463633
83	2725	32441983
84	2756	32424148
85	2788	32418106
86	2818	32394862
87	2848	32370764
88	2878	32345120
89	2909	32320531
90	2940	32309495
91	2971	32299464
92	3004	32302006
93	3036	32296185
94	3069	32306285
95	3104	32333105
96	3136	32331797
97	3171	32354391
98	3202	32346383
99	3233	32330718
100	3263	32309319
101	3294	32299419
102	3325	32287218
103	3358	32288078
104	3390	32287678
105	3424	32299702
106	3456	32296085
107	3491	32328434
108	3524	32333348
109	3557	32341549
110	3588	32323676
111	3620	32322031
112	3654	32334643
113	3684	32319778
114	3716	32314194
115	3748	32312385
116	3779	32298935
117	3810	32287748
118	3841	32277170
119	3873	32272078
120	3903	32254081
121	3933	32235076
122	3966	32246227
123	3997	32235819
124	4028	32226727
125	4060	32222672
126	4090	32205362
127	4122	32203418
128	4151	32181682
129	4185	32193510
130	4221	32218781
131	4254	32224192
132	4285	32220084
133	4316	32205187
134	4349	32215043
135	4379	32200968
136	4412	32201446
137	4443	32197912
138	4475	32193696
139	4505	32179709
140	4539	32190973
141	4572	32197952
142	4605	32200245
143	4635	32184176
144	4665	32170707
145	4695	32155334
146	4729	32172003
147	4762	32174428
148	4795	32181687
149	4828	32186746
150	4867	32229107
151	4901	32239039
152	4932	32234158
153	4963	32228195
154	4995	32223557
155	5030	32244900
156	5065	32257588
157	5100	32277746
158	5132	32272419
159	5163	32266714
160	5195	32262471
161	5227	32264137
162	5262	32281456
163	5293	32273414
164	5326	32274099
165	5357	32269314
166	5388	32258071
167	5418	32248719
168	5450	32244895
169	5480	32233197
170	5516	32253818
171	5551	32267744
172	5585	32280170
173	5615	32269402
174	5646	32258279
175	5676	32246992
176	5718	32300293
177	5751	32308529
178	5783	32301809
179	5816	32305498
180	5849	32311610
181	5881	32309598
182	5912	32301084
183	5943	32295879
184	5976	32300368
185	6007	32294173
186	6039	32293390
187	6070	32282823
188	6101	32274854
189	6134	32282000
190	6166	32281213
191	6197	32274607
192	6228	32267401
193	6260	32265131
194	6291	32259607
195	6325	32268616
196	6358	32271364
197	6393	32285649
198	6426	32286012
199	6457	32282113
200	6490	32286426
201	6524	32294983
202	6557	32298752
203	6592	32308014
204	6623	32302638
205	6655	32303615
206	6688	32304520
207	6719	32299227
208	6753	32304918
209	6785	32305821
210	6815	32294122
211	6846	32288900
212	6878	32284515
213	6909	32281643
214	6939	32270953
215	6973	32275483
216	7002	32263078
217	7032	32252734
218	7065	32253256
219	7096	32247494
220	7127	32246049
221	7156	32229617
222	7187	32225315
223	7222	32234866
224	7253	32231514
225	7284	32223124
226	7316	32223096
227	7346	32213972
228	7377	32207161
229	7409	32205777
230	7442	32209625
231	7472	32203560
232	7504	32199749
233	7537	32204461
234	7570	32209300
235	7605	32217158
236	7637	32216034
237	7667	32209038
238	7697	32198445
239	7728	32195428
240	7759	32188861
241	7791	32186629
242	7823	32186840
243	7853	32180367
244	7884	32172764
245	7915	32167164
246	7946	32162671
247	7975	32150216
248	8006	32147984
249	8037	32143098
250	8070	32144118
251	8103	32147983
252	8136	32153129
253	8168	32149906
254	8199	32145414
255	8231	32145017
256	8262	32141734
257	8294	32139265
258	8326	32140604
259	8358	32139958
260	8389	32136307
261	8420	32130994
262	8450	32121608
263	8480	32113800
264	8513	32116051
265	8543	32110191
266	8576	32114122
267	8608	32113141
268	8640	32113064
269	8670	32104590
270	8700	32098007
271	8731	32093817
272	8763	32091255
273	8794	32087848
274	8826	32085778
275	8858	32085367
276	8889	32084922
277	8920	32079565
278	8953	32082621
279	8984	32079029
280	9016	32076837
281	9048	32077375
282	9081	32080755
283	9110	32071284
284	9141	32067037
285	9171	32058367
286	9202	32055686
287	9233	32052891
288	9262	32042239
289	9294	32041991
290	9332	32061054
291	9362	32052609
292	9392	32047650
293	9424	32046830
294	9457	32051480
295	9490	32052518
296	9523	32055224
297	9555	32054824
298	9589	32060970
299	9619	32055661
300	9651	32054228
301	9683	32053971
302	9718	32063694
303	9751	32067167
304	9783	32067261
305	9819	32079574
306	9850	32077947
307	9883	32080861
308	9918	32087523
309	9952	32096012
310	9984	32094692
311	10018	32098966
312	10051	32104223
313	10082	32099237
314	10114	32099373
315	10147	32101966
316	10181	32108912
317	10213	32107553
318	10248	32115237
319	10280	32114747
320	10321	32142546
321	10359	32161996
322	10396	32176576
323	10436	32201857
324	10475	32220637
325	10519	32257551
326	10554	32266267
327	10594	32290018
328	10633	32311000
329	10669	32321828
330	10703	32325514
331	10743	32347943
332	10779	32359794
333	10819	32382724
334	10859	32406593
335	10895	32417243
336	10932	32428301
337	10969	32444351
338	11006	32457438
339	11037	32453316
340	11067	32444069
341	11099	32443634
342	11132	32445631
343	11163	32440685
344	11194	32436449
345	11225	32433241
346	11256	32429136
347	11290	32432163
348	11321	32428648
349	11355	32433642
350	11390	32439569
351	11422	32438938
352	11454	32437407
353	11485	32434622
354	11518	32433595
355	11551	32435211
356	11583	32434571
357	11618	32441394
358	11648	32435718
359	11678	32429736
360	11708	32421887
361	11737	32412429
362	11768	32407356
363	11799	32404764
364	11833	32407890
365	11863	32401118
366	11895	32401723
367	11928	32401466
368	11962	32406761
369	11993	32402842
370	12024	32399116
371	12056	32398743
372	12088	32396213
373	12119	32393773
374	12152	32395282
375	12182	32387680
376	12212	32380596
377	12244	32381813
378	12275	32376843
379	12310	32382651
380	12340	32377976
381	12372	32377149
382	12403	32371530
383	12436	32373730
384	12467	32371343
385	12500	32372587
386	12530	32366309
387	12561	32361462
388	12595	32367789
389	12627	32364517
390	12656	32358147
391	12686	32350643
392	12716	32345390
393	12747	32342141
394	12776	32332472
395	12806	32326962
396	12836	32320598
397	12868	32320633
398	12899	32317211
399	12931	32314630
400	12965	32320339
401	13000	32327279
402	13034	32330229
403	13065	32327781
404	13096	32324207
405	13128	32323197
406	13158	32317847
407	13193	32322663
408	13225	32322512
409	13256	32319770
410	13287	32315886
411	13321	32320137
412	13351	32315122
413	13383	32313384
414	13416	32314810
415	13446	32309242
416	13475	32301091
417	13506	32298707
418	13539	32301073
419	13572	32300809
420	13606	32305517
421	13638	32304637
422	13671	32307056
423	13702	32303952
424	13733	32299473
425	13764	32297351
426	13799	32302617
427	13833	32308385
428	13865	32306365
429	13896	32304329
430	13927	32300887
431	13959	32299514
432	13990	32296996
433	14019	32289479
434	14049	32284646
435	14081	32283268
436	14113	32282364
437	14144	32279855
438	14177	32280814
439	14209	32279516
440	14237	32270407
441	14269	32269055
442	14299	32264705
443	14331	32262939
444	14360	32257320
445	14391	32253421
446	14423	32253207
447	14458	32258632
448	14489	32256301
449	14520	32252716
450	14557	32262828
451	14589	32263455
452	14622	32264523
453	14658	32272076
454	14693	32277623
455	14729	32286299
456	14761	32286177
457	14792	32283770
458	14825	32283780
459	14857	32284344
460	14888	32281674
461	14920	32279613
462	14951	32277731
463	14982	32274386
464	15015	32277351
465	15054	32290543
466	15088	32293332
467	15122	32297491
468	15153	32294864
469	15182	32288816
470	15214	32287019
471	15246	32287527
472	15277	32284684
473	15313	32290587
474	15343	32287406
475	15375	32286087
476	15405	32280732
477	15434	32275121
478	15466	32274269
479	15500	32276887
480	15531	32274592
481	15566	32279935
482	15597	32276929
483	15628	32274892
484	15661	32275602
485	15695	32279055
486	15725	32275230
487	15758	32275390
488	15791	32277263
489	15822	32275851
490	15855	32276398
491	15886	32272780
492	15916	32269951
493	15947	32265760
494	15977	32261851
495	16011	32264240
496	16042	32263465
497	16075	32264531
498	16107	32262777
499	16138	32260451
500	16171	32261354
501	16202	32258846
502	16234	32259255
503	16275	32275450
504	16306	32272978
505	16342	32281186
506	16379	32290797
507	16422	32310995
508	16457	32316425
509	16491	32320075
510	16524	32320940
511	16556	32321037
512	16588	32319349
513	16619	32317404
514	16653	32319796
515	16686	32321226
516	16718	32321543
517	16747	32314923
518	16779	32312881
519	16812	32314565
520	16842	32310959
521	16874	32308997
522	16906	32308715
523	16938	32308195
524	16969	32305666
525	16999	32301951
526	17030	32298856
527	17063	32299623
528	17095	32299580
529	17125	32295042
530	17157	32294271
531	17188	32291081
532	17219	32288764
533	17252	32290129
534	17287	32295313
535	17317	32291527
536	17348	32289236
537	17383	32293053
538	17417	32297235
539	17445	32289742
540	17475	32285197
541	17507	32283465
542	17539	32283694
543	17573	32286397
544	17606	32286974
545	17638	32287743
546	17670	32287403
547	17708	32296399
548	17740	32296389
549	17774	32299244
550	17805	32297299
551	17836	32294399
552	17867	32292155
553	17898	32290130
554	17930	32289625
555	17963	32290392
556	17994	32287469
557	18025	32284958
558	18056	32282482
559	18086	32278401
560	18115	32273417
561	18147	32272431
562	18181	32274958
563	18212	32272790
564	18242	32269017
565	18272	32265891
566	18307	32269206
567	18339	32269419
568	18369	32265773
569	18399	32261771
570	18431	32261542
571	18465	32263629
572	18498	32264821
573	18534	32272240
574	18566	32271154
575	18599	32272670
576	18633	32274989
577	18666	32276452
578	18699	32276682
579	18732	32279433
580	18765	32280391
581	18797	32278886
582	18830	32279837
583	18862	32279353
584	18893	32277072
585	18925	32277124
586	18956	32274138
587	18985	32269797
588	19020	32274525
589	19054	32275920
590	19086	32276107
591	19117	32274409
592	19151	32276758
593	19182	32274775
594	19213	32272585
595	19244	32269917
596	19279	32274113
597	19310	32272508
598	19341	32270121
599	19371	32266346
600	19404	32267652
601	19437	32267990
602	19468	32266877
603	19500	32265804
604	19533	32267039
605	19566	32268536
606	19597	32266767
607	19632	32270677
608	19666	32273526
609	19700	32276902
610	19733	32277121
611	19765	32276984
612	19798	32277916
613	19831	32279501
614	19865	32281363
615	19898	32282352
616	19929	32281088
617	19959	32277145
618	19991	32276889
619	20031	32288081
620	20062	32286805
621	20093	32284784
622	20124	32282460
623	20156	32282074
624	20187	32280190
625	20218	32277859
626	20247	32272300
627	20277	32269426
628	20309	32268148
629	20340	32266537
630	20375	32270562
631	20406	32267642
632	20437	32266728
633	20471	32268577
634	20502	32266964
635	20536	32269316
636	20567	32267423
637	20600	32268917
638	20633	32268896
639	20667	32271627
640	20699	32272333
641	20730	32270496
642	20770	32281500
643	20802	32280777
644	20835	32283001
645	20868	32282831
646	20901	32284026
647	20935	32287492
648	20968	32287289
649	21001	32288244
650	21036	32293149
651	21067	32290808
652	21101	32294206
653	21132	32290921
654	21163	32290048
655	21195	32289008
656	21229	32291752
657	21261	32290457
658	21295	32294210
659	21329	32296461
660	21362	32297726
661	21394	32295935
662	21426	32296678
663	21457	32294238
664	21490	32295483
665	21521	32292444
666	21553	32292347
667	21586	32294218
668	21617	32292121
669	21648	32289496
670	21679	32287253
671	21711	32287349
672	21746	32291286
673	21782	32296008
674	21813	32294073
675	21844	32292356
676	21876	32291879
677	21908	32292086
678	21938	32288567
679	21970	32287709
680	22002	32287144
681	22034	32286540
682	22065	32285134
683	22096	32282037
684	22124	32277010
685	22154	32272631
686	22185	32270387
687	22218	32272326
688	22249	32270600
689	22281	32269757
690	22314	32270244
691	22345	32268561
692	22375	32265622
693	22406	32264146
694	22440	32265371
695	22471	32264065
696	22505	32267165
697	22539	32269066
698	22575	32273631
699	22608	32275730
700	22640	32274604
701	22678	32283080
702	22710	32281700
703	22741	32281066
704	22775	32282543
705	22807	32281887
706	22838	32280447
707	22871	32281163
708	22904	32281947
709	22935	32280183
710	22968	32281363
711	23002	32283454
712	23034	32282956
713	23068	32285887
714	23100	32284931
715	23131	32283046
716	23164	32283967
717	23200	32289225
718	23235	32292794
719	23264	32289113
720	23295	32286954
721	23327	32286304
722	23359	32286394
723	23392	32286101
724	23423	32284736
725	23454	32282936
726	23488	32284863
727	23519	32284049
728	23555	32288749
729	23589	32290984
730	23621	32290232
731	23654	32290565
732	23685	32288734
733	23716	32287941
734	23752	32292656
735	23786	32295374
736	23820	32296595
737	23853	32297688
738	23885	32296792
739	23916	32296283
740	23948	32295327
741	23985	32301482
742	24016	32300307
743	24046	32296839
744	24079	32297098
745	24110	32295231
746	24142	32294660
747	24172	32291357
748	24201	32287445
749	24232	32285242
750	24262	32283139
751	24292	32279857
752	24324	32278963
753	24355	32277390
754	24387	32276459
755	24417	32274137
756	24450	32274177
757	24481	32273605
758	24512	32271515
759	24544	32270830
760	24575	32268855
761	24608	32269678
762	24640	32269578
763	24671	32267281
764	24704	32269335
765	24736	32267713
766	24768	32267687
767	24800	32267938
768	24834	32269081
769	24865	32268321
770	24899	32270316
771	24934	32274113
772	24966	32273244
773	25005	32281985
774	25036	32279981
775	25068	32280274
776	25098	32276935
777	25134	32281081
778	25170	32286724
779	25204	32287869
780	25241	32293575
781	25274	32294938
782	25308	32297139
783	25344	32301610
784	25377	32303180
785	25412	32306012
786	25448	32311177
787	25485	32316198
788	25521	32320688
789	25553	32320824
790	25584	32319303
791	25617	32320190
792	25649	32319739
793	25680	32317937
794	25713	32318628
795	25746	32319369
796	25779	32319615
797	25816	32325843
798	25848	32325256
799	25878	32321856
800	25911	32323532
801	25945	32325410
802	25979	32327106
803	26011	32326382
804	26043	32325492
805	26074	32324640
806	26105	32322214
807	26153	32342426
808	26188	32345171
809	26223	32348780
810	26259	32353091
811	26293	32354693
812	26327	32357303
813	26365	32364189
814	26402	32369306
815	26442	32378589
816	26476	32380165
